source,target,weight
307087,307088,1
307088,307087,1
75730,18189,1
18189,75730,1
321965,332158,1
321965,332159,1
321965,62124,1
332158,321965,1
332158,332159,1
332158,62124,1
332159,321965,1
332159,332158,1
332159,62124,1
62124,321965,1
62124,332158,1
62124,332159,1
429162,68227,1
68227,429162,1
26096,20,1
20,26096,1
509912,315788,1
315788,509912,1
90900,98205,1
98205,90900,1
321965,62124,1
62124,321965,1
113921,113922,1
113922,113921,1
52715,783886,1
783886,52715,1
84925,585075,1
585075,84925,1
1058597,869781,1
869781,1058597,1
2780,19270,1
19270,2780,1
20464,74669,1
74669,20464,1
371353,1269021,1
1269021,371353,1
198998,23373,1
23373,198998,1
26735,1436525,1
26735,1427704,1
26735,1436526,1
1436525,26735,1
1436525,1427704,1
1436525,1436526,1
1427704,26735,1
1427704,1436525,1
1436526,26735,1
1436526,1436525,1
176709,176711,1
176709,1447688,1
176711,176709,1
176711,1447688,1
1447688,176709,1
1447688,176711,1
63423,15504,1
15504,63423,1
1569798,1569799,1
1569799,1569798,1
90900,98205,1
98205,90900,1
738789,20,1
20,738789,1
2308160,2308162,1
2308162,2308160,1
602323,289914,1
289914,602323,1
340315,165,1
340315,1020073,1
165,340315,1
165,1020073,1
1020073,340315,1
1020073,165,1
2317416,1680486,1
2317417,1680486,1
1680486,2317416,1
1680486,2317417,1
559271,671701,1
671701,559271,1
58206,58207,1
58207,58206,1
113921,113922,1
113922,113921,1
28816,210154,1
210154,28816,1
276224,276225,1
276224,276226,1
276225,276224,1
276225,276226,1
276226,276224,1
276226,276225,1
19031,38691,1
38691,19031,1
469180,469181,1
469181,469180,1
227633,227634,1
227634,227633,1
69395,19628,1
19628,69395,1
330054,220769,1
330054,48837,1
220769,330054,1
220769,48837,1
48837,330054,1
48837,220769,1
435126,18891,1
56309,18040,1
18040,56309,1
28638,1133012,1
9972,1197694,1
1197694,9972,1
20,899208,1
899208,20,1
1342523,260601,1
76088,260601,1
260601,1342523,1
260601,76088,1
1342524,70551,1
