source,target,weight
55067,55068,1
55068,55067,1
203981,1196,1
1196,203981,1
175265,54055,1
175265,175264,1
175265,20,1
175265,338409,1
54055,175265,1
54055,175264,1
54055,20,1
54055,338409,1
175264,175265,1
175264,54055,1
20,175265,1
20,54055,1
338409,175265,1
338409,54055,1
553100,94481,1
94481,553100,1
274931,598035,1
598035,274931,1
731013,731014,1
731013,552533,1
731014,731013,1
731014,552533,1
552533,731013,1
552533,731014,1
921069,235316,1
235316,921069,1
524402,125085,1
125085,524402,1
80789,323752,1
40967,323752,1
323752,80789,1
323752,40967,1
1365077,66805,1
66805,1365077,1
1982693,1982694,1
1982694,1982693,1
1982866,1982868,1
1982867,1982868,1
1982868,1982866,1
1982868,1982867,1
1982868,1982869,1
1982868,20,1
1982869,1982868,1
20,1982868,1
430467,145264,1
145264,430467,1
24514,61808,1
61808,24514,1
155719,155721,1
202113,202114,1
202114,202113,1
274603,190596,1
80625,190596,1
190596,274603,1
190596,80625,1
190596,233647,1
233647,190596,1
275584,275585,1
275585,275584,1
66438,11603,1
11604,11603,1
11603,66438,1
11603,11604,1
459233,459234,1
459233,459235,1
459234,459233,1
459234,459235,1
459235,459233,1
459235,459234,1
20,461687,1
461686,461687,1
461687,20,1
461687,461686,1
461687,461688,1
461687,20,1
461688,461687,1
20,461687,1
31556,594500,1
594500,31556,1
678685,678687,1
876508,120798,1
120798,876508,1
898801,312409,1
898801,898803,1
11042,312409,1
11042,898803,1
312409,898801,1
312409,11042,1
312409,898802,1
312409,898803,1
312409,898804,1
898802,312409,1
898802,898803,1
898803,898801,1
898803,11042,1
898803,312409,1
898803,898802,1
898803,898804,1
898804,312409,1
898804,898803,1
937924,937925,1
937924,327147,1
937925,937924,1
937925,327147,1
327147,937924,1
327147,937925,1
950197,950199,1
950198,950199,1
950199,950197,1
950199,950198,1
497928,980198,1
497928,20,1
497928,980199,1
980198,497928,1
980198,20,1
980198,980199,1
20,497928,1
20,980198,1
980199,497928,1
980199,980198,1
250532,20480,1
233645,106281,1
233645,27278,1
106281,233645,1
106281,27278,1
27278,233645,1
27278,106281,1
175265,54055,1
175265,175264,1
54055,175265,1
54055,175264,1
175264,175265,1
175264,54055,1
552432,30848,1
14126,30848,1
30848,552432,1
30848,14126,1
1209737,1209738,1
1209737,1209739,1
1209738,1209737,1
1209738,1209739,1
1209739,1209737,1
1209739,1209738,1
1223577,52576,1
52576,1223577,1
258856,503046,1
258856,59531,1
503046,258856,1
503046,59531,1
59531,258856,1
59531,503046,1
1263725,220548,1
1263725,1220970,1
1263726,1220970,1
220548,1220970,1
1220970,1263725,1
1220970,1263726,1
1220970,220548,1
240352,20,1
20721,28446,1
28446,20721,1
1415748,1106144,1
1106144,1415748,1
629043,1430985,1
34885,1076906,1
1076906,34885,1
682825,682826,1
682826,682825,1
995029,1558083,1
995030,1558083,1
1558083,995029,1
1558083,995030,1
1558083,1558084,1
1558084,1558083,1
1571320,281621,1
281621,1571320,1
1585340,20480,1
20480,1585340,1
251550,850848,1
850848,251550,1
1629226,273944,1
1629226,1629227,1
1629226,414849,1
1629226,1629228,1
1629226,18698,1
1629226,11809,1
1629226,11810,1
20,273944,1
20,1629227,1
20,414849,1
20,1629228,1
20,18698,1
20,11809,1
20,11810,1
273944,1629226,1
273944,20,1
273944,779765,1
273944,1629227,1
273944,1043357,1
273944,414849,1
273944,11808,1
273944,1629228,1
273944,1629229,1
273944,18698,1
273944,1250541,1
273944,20,1
273944,20,1
273944,11809,1
273944,42661,1
273944,11810,1
273944,11811,1
779765,273944,1
779765,1629227,1
779765,414849,1
779765,1629228,1
779765,18698,1
779765,11809,1
779765,11810,1
1629227,1629226,1
1629227,20,1
1629227,273944,1
1629227,779765,1
1629227,1043357,1
1629227,414849,1
1629227,11808,1
1629227,1629228,1
1629227,1629229,1
1629227,18698,1
1629227,1250541,1
1629227,20,1
1629227,20,1
1629227,11809,1
1629227,42661,1
1629227,11810,1
1629227,11811,1
1043357,273944,1
1043357,1629227,1
1043357,414849,1
1043357,1629228,1
1043357,18698,1
1043357,11809,1
1043357,11810,1
414849,1629226,1
414849,20,1
414849,273944,1
414849,779765,1
414849,1629227,1
414849,1043357,1
414849,11808,1
414849,1629228,1
414849,1629229,1
414849,18698,1
414849,1250541,1
414849,20,1
414849,20,1
414849,11809,1
414849,42661,1
414849,11810,1
414849,11811,1
11808,273944,1
11808,1629227,1
11808,414849,1
11808,1629228,1
11808,18698,1
11808,11809,1
11808,11810,1
1629228,1629226,1
1629228,20,1
1629228,273944,1
1629228,779765,1
1629228,1629227,1
1629228,1043357,1
1629228,414849,1
1629228,11808,1
1629228,1629229,1
1629228,18698,1
1629228,1250541,1
1629228,20,1
1629228,20,1
1629228,11809,1
1629228,42661,1
1629228,11810,1
1629228,11811,1
1629229,273944,1
1629229,1629227,1
1629229,414849,1
1629229,1629228,1
1629229,18698,1
1629229,11809,1
1629229,11810,1
18698,1629226,1
18698,20,1
18698,273944,1
18698,779765,1
18698,1629227,1
18698,1043357,1
18698,414849,1
18698,11808,1
18698,1629228,1
18698,1629229,1
18698,1250541,1
18698,20,1
18698,20,1
18698,11809,1
18698,42661,1
18698,11810,1
18698,11811,1
1250541,273944,1
1250541,1629227,1
1250541,414849,1
1250541,1629228,1
1250541,18698,1
1250541,11809,1
1250541,11810,1
20,273944,1
20,1629227,1
20,414849,1
20,1629228,1
20,18698,1
20,11809,1
20,11810,1
20,273944,1
20,1629227,1
20,414849,1
20,1629228,1
20,18698,1
20,11809,1
20,11810,1
11809,1629226,1
11809,20,1
11809,273944,1
11809,779765,1
11809,1629227,1
11809,1043357,1
11809,414849,1
11809,11808,1
11809,1629228,1
11809,1629229,1
11809,18698,1
11809,1250541,1
11809,20,1
11809,20,1
11809,42661,1
11809,11810,1
11809,11811,1
42661,273944,1
42661,1629227,1
42661,414849,1
42661,1629228,1
42661,18698,1
42661,11809,1
42661,11810,1
11810,1629226,1
11810,20,1
11810,273944,1
11810,779765,1
11810,1629227,1
11810,1043357,1
11810,414849,1
11810,11808,1
11810,1629228,1
11810,1629229,1
11810,18698,1
11810,1250541,1
11810,20,1
11810,20,1
11810,11809,1
11810,42661,1
11810,11811,1
11811,273944,1
11811,1629227,1
11811,414849,1
11811,1629228,1
11811,18698,1
11811,11809,1
11811,11810,1
14209,14210,1
14210,14209,1
1636154,1126551,1
1645681,359426,1
1645681,46930,1
1645681,359427,1
1645681,1645682,1
359426,1645681,1
359426,46930,1
359426,359427,1
359426,1645682,1
46930,1645681,1
46930,359426,1
46930,1645682,1
359427,1645681,1
359427,359426,1
359427,1645682,1
1645682,1645681,1
1645682,359426,1
1645682,46930,1
1645682,359427,1
291213,1678830,1
1678829,1678830,1
1678830,291213,1
1678830,1678829,1
144869,2944,1
2944,144869,1
13582,453286,1
13582,859695,1
13582,729208,1
453286,13582,1
453286,729208,1
859695,13582,1
859695,729208,1
729208,13582,1
729208,453286,1
729208,859695,1
606500,606501,1
606500,690990,1
606500,27093,1
