source,target,weight
1711701,1711700,1
130339,1711704,1
130339,1711705,1
1711704,130339,1
1711704,1711705,1
1711705,130339,1
1711705,1711704,1
101039,1711709,1
1711709,101039,1
283764,87665,1
835422,87665,1
87665,283764,1
87665,835422,1
1711710,1711711,1
1711711,1711710,1
174910,1711713,1
1711713,174910,1
1711716,431966,1
1711716,612925,1
431966,1711716,1
431966,612925,1
612925,1711716,1
612925,431966,1
1711719,1711720,1
1711719,1711721,1
1711720,1711719,1
1711720,1711721,1
1711721,1711719,1
1711721,1711720,1
1711722,1711724,1
1711722,1711725,1
1711723,1711725,1
1711724,1711725,1
1711725,1711722,1
1711725,1711723,1
1711725,1711724,1
39579,527774,1
39579,155517,1
39579,95794,1
527774,39579,1
527774,155517,1
527774,95794,1
155517,39579,1
155517,527774,1
95794,39579,1
95794,527774,1
36953,20,1
20,36953,1
20,117512,1
117512,20,1
156366,156368,1
156367,156368,1
156368,156366,1
156368,156367,1
20,61316,1
61316,20,1
862005,240035,1
862005,45807,1
240035,862005,1
240035,45807,1
45807,862005,1
45807,240035,1
117287,727511,1
117287,204232,1
816882,204232,1
727511,204232,1
204232,117287,1
204232,816882,1
204232,727511,1
167460,583875,1
583875,167460,1
1080682,1080684,1
240035,45807,1
45807,240035,1
1281338,219809,1
219809,1281338,1
1401369,96216,1
1401370,96216,1
96216,1401369,1
96216,1401370,1
458649,1444803,1
1444803,458649,1
1596579,1596580,1
944964,1596580,1
1596580,1596579,1
1596580,944964,1
1596580,1596581,1
1596581,1596580,1
1711726,1084287,1
1084287,1711726,1
1711727,1711728,1
1711729,168397,1
168397,1711729,1
1711730,1711732,1
34142,1711733,1
1711733,34142,1
173843,336738,1
1711734,1711735,1
1711734,1711736,1
1711735,1711734,1
1711735,1711736,1
1711736,1711734,1
1711736,1711735,1
797237,1711740,1
1711739,1711740,1
1711740,797237,1
1711740,1711739,1
1711744,1711745,1
1711744,1711746,1
1711745,1711744,1
1711745,1711746,1
1711746,1711744,1
1711746,1711745,1
1711747,1711749,1
1711748,1711749,1
1711749,1711747,1
1711749,1711748,1
104693,1711751,1
1711751,104693,1
1711758,1711759,1
1711758,1711760,1
1711759,1711758,1
1711759,1711760,1
1711760,1711758,1
1711760,1711759,1
1691607,83404,1
83404,1691607,1
1711771,1711773,1
1711772,1711773,1
1711773,1711771,1
1711773,1711772,1
431335,397375,1
431335,1711774,1
397375,431335,1
397375,1711774,1
1711774,431335,1
1711774,397375,1
119160,1711776,1
119160,643324,1
1711775,1711776,1
1711775,643324,1
1711776,119160,1
1711776,1711775,1
1711776,643324,1
1711776,239027,1
643324,119160,1
643324,1711775,1
643324,1711776,1
643324,239027,1
239027,1711776,1
239027,643324,1
191230,1711779,1
191230,1711780,1
1711779,191230,1
1711779,1711780,1
1711780,191230,1
1711780,1711779,1
1711783,54113,1
1711783,257534,1
54113,1711783,1
54113,257534,1
257534,1711783,1
257534,54113,1
1711785,548101,1
548101,1711785,1
1711787,1711789,1
1711787,1711790,1
1711788,1711790,1
1711789,1711790,1
1711790,1711787,1
1711790,1711788,1
1711790,1711789,1
1711791,1711792,1
1711792,1711791,1
1711793,1711795,1
1711794,1711795,1
1711795,1711793,1
1711795,1711794,1
1711795,1711796,1
1711796,1711795,1
1711797,1711798,1
1711797,1711799,1
1711797,1711800,1
1711797,1711801,1
1711797,1711802,1
1711798,1711797,1
1711798,1711799,1
